subject	pp	literate	word	pseudoword
1	low_1	low	24	1
2	y_2	y	63	42
3	y_3	y	80	49
4	y_4	y	47	33
5	n_5	n	0	0
6	y_1	y	77	38
7	n_1	n	0	0
8	y_5	y	56	36
9	y_6	y	77	52
10	y_7	y	79	59
11	y_8	y	49	40
12	y_9	y	53	29
13	y_10	y	67	38
14	y_11	y	46	38
15	low_2	low	33	17
16	y_12	y	54	42
17	n_2	n	0	0
18	y_13	y	53	31
19	low_3	low	11	2
20	y_14	y	38	24
21	n_3	n	0	0
22	y_15	y	65	40
23	low_4	low	63	48
24	y_16	y	34	19
25	low_5	low	30	28
26	n_4	n	11	0
27	y_17	y	64	58
28	low_6	low	6	6
29	low_7	low	17	5
30	n_6	n	0	0
31	low_8	low	53	17
32	n_7	n	0	0
33	n_8	n	0	0
34	n_9	n	17	6
35	n_10	n	0	0
36	n_11	n	0	0
37	n_12	n	0	0
38	n_13	n	0	0
39	low_9	low	17	16
40	low_10	low	51	40
41	low_11	low	43	22
42	low_12	low	33	12
43	low_13	low	33	14
44	low_14	low	12	9
45	y_18	y	60	41
46	n_14	n	0	0
47	y_19	y	94	50
48	n_15	n	0	0
49	y_20	y	88	60
50	n_16	n	0	0
51	y_21	y	37	13
52	low_15	low	41	15
53	n_17	n	0	0
54	y_22	y	51	27
55	low_16	low	36	36
56	y_23	y	76	62
57	low_17	low	41	20
58	y_24	y	69	47
59	y_25	y	47	41
60	low_18	low	62	40
61	n_18	n	8	3
62	low_19	low	12	7
63	n_19	n	0	0
64	low_20	low	75	51
65	low_21	low	32	9
66	y_26	y	16	15
67	low_22	low	67	34
68	y_27	y	75	43
69	y_28	y	80	56
70	low_23	low	60	14
71	low_24	low	56	28
72	y_29	y	49	31
73	low_25	low	26	12
74	low_26	low	17	15
75	low_27	low	58	41
76	y_30	y	71	64
77	low_28	low	51	21
78	n_20	n	0	0
79	n_21	n	0	0
80	low_29	low	36	21
81	low_30	low	47	32
82	n_22	n	12	7
83	n_23	n	3	0
84	n_24	n	1	0
85	n_25	n	21	3
86	n_26	n	18	3
87	n_27	n	6	2
88	n_28	n	1	0
89	n_29	n	0	0
90	n_30	n	0	0
91	n_32	n	12	0
92	n_33	n	4	0
93	n_34	n	2	1
94	n_35	n	0	0
95	n_36	n	0	0
96	y_31	y	52	9
97	y_32	y	60	33
