number	pp	literate	fds	bds	fds_total	bds_total
1	low_1	low	5	4	7	5
2	y_2	y	5	5	8	7
3	y_3	y	6	5	9	8
4	y_4	y	5	4	8	5
5	n_5	n	2	2	2	1
6	y_1	y	5	3	7	4
7	n_1	n	4	3	6	3
8	y_5	y	5	3	7	4
9	y_6	y	5	4	8	5
10	y_7	y	4	4	5	5
11	y_8	y	5	4	8	5
12	y_9	y	4	3	6	3
13	y_10	y	5	2	6	2
14	y_11	y	4	2	6	2
15	low_2	low	5	5	8	7
16	y_12	y	0	0	0	0
17	n_2	n	2	0	2	0
18	y_13	y	5	3	7	4
19	low_3	low	3	2	4	2
20	y_14	y	5	4	7	6
21	n_3	n	2	1	2	2
22	y_15	y	5	5	7	8
23	low_4	low	5	6	8	9
24	y_16	y	5	3	7	3
25	low_5	low	4	2	5	1
26	n_4	n	4	3	5	3
27	y_17	y	5	4	8	6
28	low_6	low	3	0	4	0
29	low_7	low	3	3	3	3
30	n_6	n	3	0	3	0
31	low_8	low	2	3	2	3
32	n_7	n	5	4	7	6
33	n_8	n	4	2	6	2
34	n_9	n	4	2	6	2
35	n_10	n	5	3	7	3
36	n_11	n	4	2	6	2
37	n_12	n	3	0	3	0
38	n_13	n	3	0	4	0
39	low_9	low	5	3	7	4
40	low_10	low	4	3	6	4
41	low_11	low	5	4	7	5
42	low_12	low	4	4	5	5
43	low_13	low	6	4	9	6
44	low_14	low	4	5	5	7
45	y_18	y	5	3	8	4
46	n_14	n	4	4	6	6
47	y_19	y	4	5	6	7
48	n_15	n	5	6	8	6
49	y_20	y	6	5	9	7
50	n_16	n	4	2	6	2
51	y_21	y	4	4	5	5
52	low_15	low	4	4	6	6
53	n_17	n	2	2	2	2
54	y_22	y	5	5	8	7
55	low_16	low	5	2	7	2
56	y_23	y	5	3	8	5
57	low_17	low	4	5	6	6
58	y_24	y	6	4	8	6
59	y_25	y	6	3	9	3
60	low_18	low	4	0	6	0
61	n_18	n	2	0	2	0
62	low_19	low	2	0	2	0
63	n_19	n	4	2	6	2
64	low_20	low	5	3	7	4
65	low_21	low	4	4	6	5
66	y_26	y	4	4	6	5
67	low_22	low	4	0	5	0
68	y_27	y	5	6	8	8
69	y_28	y	5	4	7	5
70	low_23	low	5	4	7	5
71	low_24	low	3	2	4	2
72	y_29	y	5	4	7	5
73	low_25	low	4	0	6	0
74	low_26	low	3	4	4	5
75	low_27	low	4	3	5	4
76	y_30	y	6	4	10	5
77	low_28	low	4	2	5	2
78	n_20	n	4	3	6	3
79	n_21	n	4	3	6	3
80	low_29	low	4	3	6	3
81	low_30	low	5	4	7	5
82	n_22	n	3	2	3	2
83	n_23	n	0	0	0	0
84	n_24	n	4	3	6	3
85	n_25	n	3	0	4	0
86	n_26	n	4	3	5	4
87	n_27	n	3	4	4	5
88	n_28	n	0	2	0	2
89	n_29	n	3	0	4	0
90	n_30	n	3	3	3	3
91	n_32	n	5	4	7	5
92	n_33	n	4	0	5	0
93	n_34	n	4	3	6	3
94	n_35	n	2	0	2	0
95	n_36	n	4	2	6	2
96	y_31	y	4	4	5	6
97	y_32	y	4	4	6	5
